District,Janpad,Sector,Gram_Panchayat,GP_20Sep_Name,Sub_Engineer,Correction
Satna,Majhgawan,BADKHERA,BADKHERA,Badkhera,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,BAMHAURI,Bamhouri,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,BANDHI,Bandhi,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,BERAHANA BANDHI,Bairahana Bandhi,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,GORASARI,Marawa,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,HARDUWA,Hardua,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,JHARI (JAITWARA),Jhari Jaitwara,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,MACHKHARA,Machkhara,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,NAYAGAON,Nayagaon,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,PIPARITOLA,Pipari Tola,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,SUJAVALKHURRD,Sujawal Khurd,अखिलेश सोनी,
Satna,Majhgawan,BADKHERA,TIGHARA,Tighara,अखिलेश सोनी,
Satna,Majhgawan,BARAUNDHA,BARAUNDHA,Baroundha,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,BHIYAMAU,Bhiyamou,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,CHUWA,Chuwaon,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,GOPALPUR,Gopalpur,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,JAWARIN,Jawarin,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,KANDAR,Kandar,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,KAUNHARI,Kouhari,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,KHOHI,Khohie,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,NARDAHA,Nardaha,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,PATHARKACHHAR,Pathar Kchhar,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,RANIPUR,Ranipur,आशीष तिवारी,
Satna,Majhgawan,BARAUNDHA,SHAHPUR,Sahpur,आशीष तिवारी,
Satna,Majhgawan,HIRAUNDI,AMILIYA,Amiliya,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,BHARAGAWA,Bhargawon,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,CHANDAI,Chandai,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,GALBAL,Galwal,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,HIRAUNDI,Hiroundi,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,KAILASHPUR,Kailashpur,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,KHUTAHA,Khutaha,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,KITHA,Kitaha,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,LALPUR (PATIHAR),Lalpur,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,PACHHIT,Pachhit,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,TELNI,Telani,सतीस समेले,
Satna,Majhgawan,HIRAUNDI,TURRA,Turra,सतीस समेले,
Satna,Majhgawan,KARIGOHI,AMIRITI,Amiriti,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,BADERAKALAN,Badera Kala,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,BANKA,Banka,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,BEERRPUR,Beerpur,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,DEVRA,Dewara,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,GUJHAWA,Gujhawa,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,JHAKHAURA,Jhakhoura,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,KARIGOHI,Kariegohi,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,KHODARI,Khodari,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,PAGARKALAN,Pagar Kala,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,PAGARKHURD,Pagarkhurd,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KARIGOHI,SELAURA,Seloura,सत्यनारायण मिश्रा,25-09-2026: Badera Kala सेक्टर निर्देश
Satna,Majhgawan,KHADAURRA,BARA,Bara,देवेन्द्र सिंह,
Satna,Majhgawan,KHADAURRA,BERAHANA,Bairahana,देवेन्द्र सिंह,
